"pk","site","code","name","start_url","page_url","start_page","end_page","title_link","title","content","writer","wdate_pattern","write_date","useyn","status","g_code","g_name","s_code","s_name","cont_id"
5,"3",sgg01001,공지사항,http://www.icdonggu.go.kr/open_content/main/open_info/admin/notice.jsp,http://www.icdonggu.go.kr/open_content/bbs.do?act=list&bcd=board_1&pgdiv=site1&pageno=,"1","1","//*[@id=""detail_con""]/div[2]/table/tbody//tr/td[2]/a","//*[@id=""detail_con""]/table/thead/tr/th","//*[@id=""detail_con""]/table/tbody/tr[4]/td","//*[@id=""detail_con""]/table/tbody/tr[1]/td[2]",yyyy.MM.dd,"//*[@id=""detail_con""]/table/tbody/tr[2]/td[2]",Y,SW,,,,,msg_no
6,"4",sgg03001,공지사항,http://www.gyeyang.go.kr/open_content/main/open_info/admin/notice.jsp,http://www.gyeyang.go.kr/open_content/main/bbs/bbsMsgList.do?bcd=board_4&pgno=,"1","1","//*[@id=""detail_con""]/div[1]/table/tbody//tr/td[2]/a","//*[@id=""detail_con""]/div/div[1]/p","//*[@id=""detail_con""]/div/div[2][text()]","//*[@id=""detail_con""]/div/div[1]/div/dl[1]/dd[1]",yyyy년 M월 d일(E),"//*[@id=""detail_con""]/div/div[1]/div/dl[1]/dd[2]",Y,SW,,,,,msg_seq
7,"5",sgg04001,새소식,http://namdong.go.kr/main/news/notice.jsp,http://namdong.go.kr/main/bbs/bbsMsgList.do?bcd=notice&pgno=,,,"//*[@id=""detail_con""]/div[3]/ul/li/p/a","//*[@id=""detail_con""]/div/*[@class=""title""]/p","//*[@id=""detail_con""]/div/*[@class=""con""][text()]","//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[2]/dd",Y,SW,,,,,msg_seq
8,"9",sgg05001,새소식,http://www.seo.incheon.kr/open_content/main/community/news/notice.jsp,http://www.seo.incheon.kr/open_content/main/bbs/bbsMsgList.do?bcd=notice&pgno=,,,"//*[@id=""detail_con""]/div[2]/table/tbody/tr/td[2]/a","//*[@id=""detail_con""]/div/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul[1]/li/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li/dl[2]/dd",Y,SW,,,,,msg_seq
9,"10",sgg06001,공지사항,http://www.ongjin.go.kr/open_content/main/community/board/notice.jsp,http://www.ongjin.go.kr/open_content/main/bbs/bbsMsgList.do?bcd=notice&pgno=,,,"//*[@id=""detail_con""]/div[2]/table/tbody/tr/td[2]/a","//*[@id=""detail_con""]/div/p[1]","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul[1]/li/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li/dl[2]/dd",Y,SW,,,,,msg_seq
10,"11",sgg07001,공지사항,http://www.icjg.go.kr/krcm01b,http://www.icjg.go.kr/krcm01b?curPage=,"1","1","//*[@id=""contentWrap""]/div/div/div[2]/table/tbody/tr/td[2]/a","//*[@id=""contentWrap""]/div/div/div/h4","//*[@id=""contentWrap""]/div/div/div/div[@class=""board-view-contents""]","//*[@id=""contentWrap""]/div/div/div/div[1]/dl[1]/dd",yyyy-MM-dd,"//*[@id=""contentWrap""]/div/div/div/div[1]/dl[2]/dd",Y,SW,,,,,"//*[@id=""nttNo""]"
11,"12",konancollector1,코난 수집원1,,,,,,,,,,,Y,,,,,,
12,"13",sgg08001,공지사항,http://www.yeonsu.go.kr/main/community/notify/notice.asp,http://www.yeonsu.go.kr/main/community/notify/notice.asp?gotopage=,"1","1","//*[@id=""detail_con""]/div[2]/table/tbody/tr/td[2]/a","//*[@id=""detail_con""]/div/p[@class=""title""]","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul/li[1]/dl[1]/dd",yyyy년 M월 d일,"//*[@id=""detail_con""]/div/ul/li[1]/dl[2]/dd",Y,SW,,,,,seq
13,"14",ssg09001,부평소식,http://www.icbp.go.kr/main/participation/news/notice.jsp,http://www.icbp.go.kr/main/bbs/bbsMsgList.do?bcd=notice&pgno=,"1","1","//*[@id=""detail_con""]/div[3]/ul/li/p/a","//*[@id=""detail_con""]/div/div[1]/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul/li[1]/dl[1]/dd",yyyy년 MM월 dd일(E),"//*[@id=""detail_con""]/div/ul/li[1]/dl[2]/dd",Y,SW,,,,,msg_seq
14,"15",ssg10001,공지사항,http://www.icouncil.go.kr/main/news/notice.jsp,http://www.icouncil.go.kr/main/bbs/bbsMsgList.do?bcd=notice&pgno=,"1","1","//*[@id=""detail_con""]/div[3]/ul/li/p/a","//*[@id=""detail_con""]/div/div[1]/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul/li[1]/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul/li[1]/dl[2]/dd",Y,SW,,,,,msg_seq
15,"15",ssg10002,언론보도,http://www.icouncil.go.kr/main/news/press.jsp,http://www.icouncil.go.kr/main/bbs/bbsMsgList.do?bgcd=all&bcd=press&pgno=,"1","1","//*[@id=""detail_con""]/div[3]/ul/li/p/a","//*[@id=""detail_con""]/div/div[1]/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[2]/dd",Y,SW,,,,,msg_seq
16,"6",out01001,공지사항,https://www.ictr.or.kr/main/board/notice.jsp,https://www.ictr.or.kr/main/bbs/bbsMsgList.do?bcd=notice&pgno=,"1","1","//*[@id=""detail_con""]/div[3]/ul/li/p/a","//*[@id=""detail_con""]/div/div[1]/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[1]/dd",yyyy년 M월 d일(E) HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li[1]/dl[2]/dd",Y,SW,,,,,msg_seq
17,"7",out02001,공지사항,http://www.imcd.co.kr/open_content/main/customer/notification/notice.jsp,http://www.imcd.co.kr/open_content/bbs.do?act=list&bcd=notice&bgcd=site1&pageno=,,,"//*[@id=""detail_con""]/div[3]/div/table/tbody/tr/td[3]/a","//*[@id=""detail_con""]/div/ul/li[1]/span[2]","//*[@id=""detail_con""]/div/div/div[@class=""cont""]","//*[@id=""detail_con""]/div/ul/li[3]/span",yyyy-MM-dd,"//*[@id=""detail_con""]/div/ul/li[2]/span",Y,SW,,,,,msg_no
18,"8",out03001,보도자료,http://www.travelicn.or.kr/open_content/board/report.jsp,http://www.travelicn.or.kr/open_content/main/bbs/bbsMsgList.do?bcd=report&pgno=,,,"//*[@id=""detail_con""]/div[2]/table/tbody/tr/td[2]/a","//*[@id=""detail_con""]/div/p","//*[@id=""detail_con""]/div/div[@class=""con""]","//*[@id=""detail_con""]/div/ul[1]/li/dl[1]/dd",yyyy-MM-dd HH:mm:ss,"//*[@id=""detail_con""]/div/ul[1]/li/dl[2]/dd",Y,SW,,,,,msg_seq
19,"16",out04001,문화예술프로그램은행,http://www.ifac.or.kr/IFACBBS/board.php?bo_table=Ifacbbs_dw4405,http://www.ifac.or.kr/IFACBBS/board.php?bo_table=Ifacbbs_dw4405&page=,,,"//*[@id=""fboardlist""]/div[1]/ul/li/div[2]/a","//*[@id=""thema_wrapper""]/div[3]/div/div/div[1]/div[2]/section/article/h1","//*[@id=""thema_wrapper""]/div[3]/div/div/div[1]/div[2]/section/article/div[2]/div[@class=""view-content""]","//*[@id=""thema_wrapper""]/div[3]/div/div/div[1]/div[2]/section/article/div[1]/div[1]/div/span[1]/span", yyyy.MM.dd HH:mm,"//*[@id=""thema_wrapper""]/div[3]/div/div/div[1]/div[2]/section/article/div[1]/div[1]/div/span[2]/span[2]",Y,SW,,,,,wr_id
20,"17",out05001,연구보고서,http://www.ii.re.kr/researchRPT/list.do?m=0101&type=N&s=idim,http://www.ii.re.kr/researchRPT/list.do?type=main&m=0101&s=idim&page=,,,"//*[@id=""subContent""]/div[2]/div[2]/form/div[3]/div[1]/table/tbody/tr/td[2]/a","//*[@id=""subContent""]/div[2]/div[2]/form/div/article/div[1]/div/table/tbody/tr[1]/td[2]/strong","//*[@id=""info2""]/div/*[text()]","//*[@id=""subContent""]/div[2]/div[2]/form/div/article/div[1]/div/table/tbody/tr[2]/td[1]/a",yyyy/MM/dd,"//*[@id=""subContent""]/div[2]/div[2]/form/div/article/div[1]/div/table/tbody/tr[4]/td[1]",Y,SW,,,,,seq
